variant,seed,agent_steps,train_return,eval_return,eval_std,success_rate,mean_length,action_diversity,coverage_rate,assignment_cost,task_score,actor_loss,critic_loss,entropy,approx_kl
independent,142,11368,-29.760641596714656,-36.12366357288314,54.63265518879142,1.0,26.95,0.7586410020239807,1.0,0.7290008455514908,109.2709991544485,0.006737125241973747,81.11228942871094,1.3763254980246225,0.000436358598562947
independent,142,15924,-10.11468072448458,-28.456919602840987,30.709887592489604,1.0,22.85,0.7738659577524707,1.0,0.6763446047902107,109.32365539520978,0.006691957785127063,86.01054382324219,1.3188548882802327,0.0007844220408514957
independent,142,20682,4.921630511060357,-39.14140118413765,58.025303705954954,1.0,29.95,0.7563829119425052,1.0,0.7078536927700043,109.29214630723,0.0019428333810841045,121.51557159423828,1.2919237713019052,0.00036083754821447656
independent,142,25528,3.06513231061399,-57.62399743523103,84.06877032536701,0.85,47.4,0.776352382266856,0.925,0.7483313173055649,93.50166868269443,-0.0035704768621750795,117.14013799031575,1.3361831307411194,0.0002476441841281485
independent,142,30168,6.873942804336548,-66.99595495412498,99.96202474522912,0.8,52.35,0.7811440950648267,0.9,0.8190609782934188,88.18093902170658,-0.0011097947135567665,100.47772725423177,1.323164959748586,0.00018840372217709955
independent,142,36228,6.260603962466121,-54.66237646405691,86.56663522176885,0.9,43.55,0.763937372025138,0.95,0.8070716917514801,98.69292830824853,-0.011339808920941625,88.93875630696614,1.3538283010323842,0.00011903209944345386
independent,142,40844,12.58162708535339,-63.457897003612246,91.27838096127427,0.85,51.35,0.7685173129105767,0.925,0.7305150732398034,93.5194849267602,0.005820552197595437,85.00739987691244,1.3022006948788962,5.6912084649714714e-05
independent,142,45476,12.056472707539797,-72.10019291442174,93.39547245564782,0.8,59.2,0.7710958092833093,0.9,0.7570514053106308,88.24294859468937,-0.0007168406154960394,86.05439313252768,1.2923385600248973,1.7167949598236497e-05
independent,142,50056,12.672469859614091,-57.726898328282616,84.43763423209269,0.9,47.75,0.7550178237478551,0.95,0.7126673117280007,98.787332688272,0.0015363815085341539,81.18478775024414,1.2921057343482971,1.052926075810016e-05
independent,254,0,,-34.59882350973085,61.65828300662642,0.9,32.0,0.8361176492426493,0.95,0.7425372138619423,98.75746278613806,,,,
independent,254,5250,-90.64538850188255,-26.559164154131246,57.80993006808376,0.95,21.15,0.8668608058608058,0.975,0.6995008662343025,104.0504991337657,-0.0018258085280346374,71.8455670674642,1.4161463479200997,0.0006941926306656872
independent,254,10080,-18.516764067941242,-24.94955250684712,54.41473219191133,0.95,20.35,0.8234802271483306,0.975,0.7215403139591217,104.02845968604088,0.001534237254721423,71.39012972513834,1.436250259478887,0.00035099724542912253
independent,254,16466,-41.38429086974689,-29.7771477798717,60.20249767351449,0.95,23.35,0.822374766573296,0.975,0.7395997077226639,104.01040029227734,0.001373744724939267,80.64633623758951,1.4350345730781555,0.00039900456977193244
independent,254,21576,8.822593279423252,-34.95824909055746,70.21954626074867,0.9,29.65,0.7770350529100529,0.95,0.7791406959295273,98.72085930407047,-0.002324353437870741,69.42401949564615,1.424338976542155,0.00018302850533776413
independent,254,26412,1.046905211426995,-29.934438280132117,60.04172582510887,0.95,23.75,0.8062460935122227,0.975,0.7102240711450577,104.03977592885494,-0.0006704132926339905,48.62723573048909,1.4493966003259025,0.00011947222378694278
independent,254,31066,-4.143557805906642,-28.29331389648027,55.12637538550514,0.95,23.3,0.8034607529441289,0.975,0.7319911748170853,104.01800882518292,-0.008277108271916708,66.99876435597739,1.4118667344252267,0.00016763361433428753
independent,254,35620,-15.433041095733643,-32.035378450635314,63.08884358465242,0.9,29.35,0.7617784679089028,0.95,0.7060752630233764,98.79392473697662,-0.008020127192139626,48.63210391998291,1.4060211479663849,0.00013879962170904037
independent,254,40356,-14.226212194737267,-28.68505221586422,55.90961174267769,0.9,28.35,0.7448293650793651,0.95,0.7297756165266037,98.77022438347339,-0.0034308191000794372,54.11843299865723,1.4282675981521606,3.169971334197423e-05
independent,254,45028,8.436739455908537,-34.61792382513044,71.86524243661263,0.9,29.3,0.75550346881697,0.95,0.7318567216396332,98.76814327836037,-0.0005794179742224514,67.09812259674072,1.3672236899534862,2.8346346084617835e-05
independent,254,51492,10.885090572966469,-23.36983096159716,43.11563329697912,0.95,21.5,0.7588257107572244,0.975,0.6969665914773941,104.05303340852261,0.0043693101809670525,58.112037340799965,1.3393927415211997,7.173593608911233e-06
